,ID_NUMBER,Probability,ToInspect
701,ILR000001461,0.9890287645,1
704,IND981786221,0.9897227563,1
708,VTD002072890,0.983730131,1
709,VAR000509216,0.9846655923,1
710,INT190013623,0.9854364244,1
711,MOR000038240,0.9931680791,1
720,MIK817451263,0.9920660173,1
721,VTR000503409,0.9827503968,1
724,MID086175098,0.9911110848,1
725,INR000017160,0.9939336079,1
726,MIK949728976,0.9913051587,1
728,IL0000242446,0.9826557188,1
729,ILD104006119,0.9838056478,1
734,NJR986654994,0.9865983394,1
740,ILD051908069,0.9857258509,1
743,ILD096709803,0.9867961663,1
748,IL0000380683,0.9855679105,1
757,VAD988222188,0.9906563634,1
760,VAD988224341,0.9843220925,1
762,VAD988221420,0.9851117449,1
763,VAD988221438,0.990955064,1
769,MDR000013623,0.9825166951,1
788,VAR000000042,0.9881301119,1
789,KS0000131359,0.9970633187,1
791,VAD982579963,0.984108289,1
794,VAD988215760,0.9879063253,1
799,DCR000500512,0.9838345238,1
801,KSR000512145,0.988022416,1
804,DCR000500017,0.9922742063,1
807,MDD985405349,0.9879341417,1
808,TND982126393,0.9924658667,1
814,INX000064683,0.9861345606,1
815,MID982428286,0.9863795033,1
829,KYD985068774,0.9849836963,1
838,KY3960000005,0.9906470243,1
842,KY0000128629,0.9853421937,1
845,IND984874982,0.9924469161,1
850,IND985091461,0.9848847069,1
851,TND982135154,0.9834907812,1
853,ILD984855551,0.9915736107,1
854,MI0000900704,0.9952201069,1
860,PAD987391521,0.9837611111,1
863,VAD988200572,0.9928701848,1
866,VAD988206280,0.9858678571,1
867,VA0000464057,0.9927866405,1
874,PAD004378139,0.9903642857,1
875,PAD987269974,0.9903423804,1
877,VAR000500629,0.9945406349,1
878,PAR000022442,0.9892353175,1
881,IND984901041,0.992799879,1
882,IND984979880,0.9909906831,1
887,MID068836428,0.9890298395,1
889,MID070297981,0.9932631377,1
890,MID028490654,0.9957396071,1
895,DCR000500520,0.99735,1
896,VAD988206827,0.9876508823,1
902,ILD982627762,0.9853395332,1
906,PAD069595031,0.9859731267,1
908,ILD982607707,0.9901119099,1
910,MNR000077735,0.9899640981,1
915,MSD985972231,0.9863127289,1
917,GAR000031112,0.9850670635,1
923,MID985619394,0.9825101748,1
924,NCD982160020,0.994783448,1
929,OH0000132886,0.988156746,1
932,VAR000502641,0.9874910633,1
937,VAD988221909,0.9872124685,1
938,VAD988221537,0.9851117449,1
941,KY0000128876,0.9831579709,1
944,IAP000001492,0.9940894144,1
948,KS0000010884,0.9892966644,1
949,MID017264029,0.9912514122,1
951,KYD985087048,0.9843040216,1
953,KYD985115328,0.9873357855,1
957,MID017354762,0.9912042829,1
960,NCS000000851,0.9859007264,1
963,WID057166522,0.9833702381,1
966,DC0178046868,0.9956285714,1
969,VAD988186607,0.991481746,1
970,MID981102189,0.993816969,1
975,DCR000504308,0.9875150794,1
976,VAR000010678,0.9878923603,1
977,VAD988189080,0.9845457945,1
983,NMR000003814,0.9921529407,1
988,MAC300092640,0.9866134692,1
991,MID030177224,0.9872276948,1
1000,MDD064868136,0.9824867278,1
1007,MAD982710915,0.9852754927,1
1015,MAD982711962,0.9846875432,1
1024,MIR000029355,0.9849880952,1
1026,MDD985384668,0.9887573742,1
1034,NCD077827608,0.9843182016,1
1036,IL0000122051,0.9844354447,1
1037,TND981480577,0.983643254,1
1038,IND985063197,0.990212178,1
1040,COR000239053,0.9852440476,1
1048,ILD982063505,0.985222619,1
1049,ILD981951809,0.9901398148,1
1050,ILD982064362,0.9944633523,1
1053,KYD981805054,0.9877032139,1
1054,NCS000000821,0.9850700244,1
1057,COD980807242,0.9830174603,1
1059,NCS000000993,0.9840997457,1
1060,OHD987002482,0.9924586328,1
1064,VA0000022400,0.9859195042,1
1073,VTR000520106,0.9828476903,1
1074,DCR000504332,0.9946210317,1
1080,VAD024002776,0.991019739,1
1082,DCR000001339,0.9853738095,1
1089,VAD988221735,0.9853035714,1
1092,VAD045494481,0.983814404,1
1096,VAR000501072,0.9872124685,1
1097,VAD988221487,0.9861755022,1
1098,VAD988221594,0.9861755022,1
1099,VAR000010454,0.991994227,1
1103,VAD988221602,0.987703631,1
1106,VAD981742174,0.9896424174,1
1108,VAD988211298,0.9837485349,1
1110,DCD981113475,0.9941767544,1
1112,NYN008024424,0.9968075799,1
1119,VAD988221479,0.986661714,1
1120,NVR000085050,0.9849005508,1
1121,DCR000504506,0.9913671361,1
1126,WVR000538892,0.9829999655,1
1135,MOR000036848,0.9938337302,1
1140,DCR000504522,0.9884420635,1
1141,VAD988221404,0.9932502475,1
1146,ILR000000968,0.986510211,1
1147,IL0000125005,0.9854142639,1
1151,VAD982578395,0.9833455808,1
1162,ILD984814830,0.9923934766,1
1163,DCR000504316,0.9831904762,1
1173,MDR000020669,0.9887754331,1
1174,VTD055731038,0.9825456349,1
1176,PAD987342037,0.9904387355,1
1177,WYR000207712,0.9928101009,1
1179,ILD984807230,0.9834959312,1
1181,NYD002228419,0.9949993927,1
1182,NCS000000903,0.98914329,1
1183,PAR000528794,0.9907577881,1
1186,NVR000084624,0.9904836206,1
1189,PAR000509331,0.9918904266,1
1191,DCR000504381,0.9893019841,1
1195,ILD042659326,0.9881289358,1
1197,NJN008019523,0.9909257937,1
1202,MDR000009951,0.9862299228,1
1205,PAD987338761,0.9894021164,1
1209,NJD986608602,0.9891492893,1
1221,MAC300006863,0.9841093052,1
1227,VAD981108434,0.9862532867,1
1229,OH0000139923,0.9848027918,1
1234,RID982193914,0.9847382834,1
1238,VAD988206074,0.9910647623,1
